火锅专区,涮菜类,,娃娃菜,1.2斤/份
,,,长杆茼蒿菜,200g/份,5.5
,,,小青菜,200g/份,4
,,,有机花菜,200g/份,3.9
,,,菠菜,200g/份,3.9
,,,香菜,50g/份,1.5
,,,生菜,200g/份,3.9
,,,土豆,200g/份,2
,,,莲藕,300g/份,8.8
,,,红薯,200g/份,2.5
,,,金针菇,200g/份,3.2
,,,鲜香菇,200g/份,6.9
,,,蟹味菇,200g/份,4.5
,,,白玉菇,200g/份,3.6
,,,杏鲍菇,200g/份
,,,海带结,100g/份,2
,,,箭笋芽,200g/份,6
,,,海带结,200g/份,4
,,,冬笋,250g/份,13.9
,,,黑木耳,50g/份,7
,豆制品,,宽粉条,200g/份,3.9
,,,红薯粉丝,200g/份,3.9
,,,龙口粉丝,180g/包
,,,老豆腐,300g/份,3
,,,日本豆腐,85g/份
,,,中百叶,100g/份,2.6
,,,腐竹,200g/份
,,,油面筋,75g/包
,经典火锅,,鸭血,250g/份,5
,,,蟹肉棒,200g/份,8.8
,,,脆皮肠,200g/份,8.8
,,,梅林午餐肉罐头,340g/罐
,,,鹌鹑蛋,200g/份,4.8
,,,蛋饺,300g/份,20
,,,牛百叶,200g/份
,,,筒骨,2斤/份
,,,八爪鱼须,250g/份,12.5
,,,火锅拉面,200g/份,2
,,,火锅年糕,500g/份
,牛羊肉类,,肥牛卷,250g/份
,,,肥羊卷,250g/份
,精品丸类,,有心芝士年糕,200g/份,8.8
,,,撒尿牛丸,200g/份,8.8
,,,鱼浆海胆丸,200g/份,8.8
,,,鱼浆芝士丸,200g/份,8.8
,,,包心牛肉丸,200g/份,8.8
,,,玉米肠,200g/份,8.8
,,,鱼竹轮,200g/份,8.8
,,,甜不辣,200g/份,8.8
,,,龙虾丸,200g/份,8.8
,,,开花肠,200g/份,8.8
,,,燕饺,200g/份,8.8
,,,鱼丸,150g/份,8.8
,,,鱼豆腐,200g/份,8.8
,,,香菇贡丸,200g/份,8.8
,,,墨鱼丸,200g/份,8.8
,,,夹心蟹排,200g/份,8.8
,,,包心贡丸,200g/份,8.8
,锅底蘸酱类,,海底捞菌汤火锅底料,110g/袋
,,,海底捞清油火锅底料,229g/袋
,,,海底捞番茄火锅底料,230g/袋,13
,,,川崎火锅调料海鲜味,100g/盒
,,,川崎火锅调料麻辣味,100g/盒
,,,沙茶酱,200g/瓶,8
,,,富味娜纯芝麻酱,250g/瓶
,,,四季宝柔和花生酱,340g/瓶
,,,红腐乳,500g/瓶,15
,,,牛肉辣酱,235g/瓶,8
